Eyeplex Mall, Indian Embassy, Labim Mall, Kasthamandap Boutique Hotel, Lord Of The Drinks, Babar Mahal Villas, Santaneshwor Mahadev, City Centre, Arushi Boutique hotel, Nagpokhari, New Baneshwar, Swayambunath Temple, Military museum, Boudhanath Temple, Chisapani, The millionaire's club and casino, Jhamshikhel, Sherpa Mall, Garden Of Dreams, Royal Empire Boutique Hotel, Jamal, NewRoad, Naxal, Kamalpokhari, Thamel Market, Birendra Park, Bhaktapur Durbar Square, Durbar Square Patan, Kalikasthan Temple, Mahadevsthan Temple, Club Déjà vu, Tu Teaching Hospital, Nilbarahi, Kashmeeree jama masjid, Buddhanilkantha, Naya bus park, Narayanhiti palace museum, Chovar, British Embassy, Godawari, Purple Haze RockBar, Kathmandu Durbar Square, Bhasmashur Danda, Pilot Baba Ashram, Tribhuvan Internation Airport, Nagdaha, Om Hospital, RaniPokhari, Embassy of Japan, Royal Nepal Golf Course, Shankhadhar Park, SiddhaPokhari, National history Museum, Casino Mahjong, Bhadrakali Temple, Chandragiri Temple, Lazimpat, Casino Royale, Kasthamandap, Aviation Museum, Dharhara, Ason, Kathmandu Funpark, The last resort,,,,,,,,,,
Casino Royale, Military museum, Civil Mall, Kalikasthan Temple, RaniPokhari, Dharhara, Ason, Godawari, Arushi Boutique hotel, Bhaktapur Durbar Square, Tu Teaching Hospital, Royal Nepal Golf Course, Bhadrakali Temple, Nagarkot, Nagpokhari, Lainchour, Kashmeeree jama masjid, Embassy of Japan, Suryabinayak Ganesh Temple, Babar Mahal Villas, Chovar, Bhasmashur Danda, Tribhuvan Internation Airport, 1Durbar Mall, Jamal, Kasthamandap Boutique Hotel, Maitidevi Temple, Embassy of Switzerland, Shivapuri, Royal Empire Boutique Hotel, Tribhuvan Park, Embassy of Germany, Kathmandu Fun Valley, Birendra Park, Nepal police hospital, US embassy, Chisapani, Trisara, Pashupatinath Temple, Kamalpokhari, Dhulikhel Zipline, The last resort, Buddhanilkantha, New Baneshwar, Casino place, British Embassy, Chandragiri hills, National history Museum, Sukute Beach, Pilot Baba Ashram, Nilbarahi, Fulchowki, Nepal mediciti Hospital,,,,,,,,,,,,,,,,,,,,,
National museum, Bhadrakali Temple, Tribhuvan Internation Airport, Chandragiri hills, Nagarkot, SiddhaPokhari, Bhasmashur Danda, Pashupatinath Temple, Royal Empire Boutique Hotel, Nepal Pavillion Inn, Civil Mall, Dharhara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamalpokhari, Thamel Market, Arushi Boutique hotel, Maya Manor Boutique Hotel, Sankha Park, Ason, Babar Mahal Villas, Mahadevsthan Temple, Eyeplex Mall, Nagpokhari, Royal Empire Boutique Hotel, Fulchowki, Durbar Square Patan, Civil Mall, Champadevi, Lazimpat, Chovar, Casino Mahjong, National museum, Jame Masjid, Kasthamandap, Changunarayan Temple, Trisara, Royal Nepal Golf Course, Kapan Gumba, Ratnapark, Embassy of Germany, City Centre, Garden Of Dreams, Nepal police hospital, Krishna Mandir, Bajrabarahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RaniPokhari, Kamalpokhari, Dhulikhel Zipline, Nepal police hospital, Tribhuvan Internation Airport, Royal Empire Boutique Hotel, Sankha Park, Ratnapark, The millionaire's club and casino, Bhasmashur Danda, Boudhanath Temple, Nagarkot, Kasthamandap, Nagdaha, Freak street, Bhaktapur Durbar Square, Embassy of Japan, New Baneshwar, Dharhara, Civil Service Hospital, Gokarna Golf Course, Kapan Gumba, The last resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thamel Market, Whoopee land amusement park, Civil Service Hospital, Jhamshikhel, 1Durbar Mall, Taudaha, Daman, Nilbarahi, Babar Mahal Villas, Godawari, Kathmandu Fun Valley, Embassy of Japan, Mahadevsthan Temple, Kathmandu Boutique Hotel, Pashupatinath Temple, British Embassy, Maitidevi Temple, Trisara, Buddhanilkantha, Kashmeeree jama masjid, Arushi Boutique hotel, US embassy, Kalikasthan Temple, Sankha Park, Military museum, Garden Of Dreams, Kasthamandap Boutique Hotel, Naya bus park, Bhasmashur Danda, Nagdaha, Bhadrakali Temple, Kapan Gumba, Narayanhiti palace museum, Chisapani, Naxal, Nepal police hospital, Dhulikhel Zipline, NewRoad, Nepal mediciti Hospital, Club Déjà vu, Club Platinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherpa Mall, Royal Empire Boutique Hotel, Thamel Market, Godawari, Nagdaha, Indian Embassy, Babar Mahal Villas, Dhulikhel Zipline, Ason, Kathmandu Funpark, Pashupatinath Temple, RaniPokhari, Club Déjà vu, Nepal Pavillion Inn, Durbarmarg, Lord Of The Drinks, Nagarkot, Swayambunath Temple, Om Hospital, British Embassy, Fulchowki, Kamalpokhari, Trisara, Nagpokhari, Gokarna Golf Course, Changunarayan Temple, Royal Nepal Golf Course, Embassy of Germany, Daman, Aviation Museum, Casino Royale, Boudhanath Temple, Embassy of Switzerland, Club Platinium, Krishna Mandir, Jamal, Jhamshikhel, Kashmeeree jama masjid, Chandragiri hills, Nepal police hospital, Civil Mall, Kamladi Ganeshthan Temple, Champadevi, Narayanhiti palace museum, Kapan Gumba, Kalikasthan Temple, Lazimpat, Freak street, Embassy of Japan, Kathmandu Durbar Square, Pilot Baba Ashram, Kasthamandap Boutique Hotel, Taudaha, SiddhaPokhari, The millionaire's club and casino, Nilbarahi, Birendra Park, Naxal, Buddhanilkantha, Maitidevi Temple, Bhaktapur Durbar Square, Sankha Park,,,,,,,,,,,,
Royal Nepal Golf Course, Labim Mall, Champadevi, Tribhuvan Park, Kathmandu Boutique Hotel, Embassy of Japan, Trisara, Civil Mall, Bhaktapur Durbar Square, Shankhadhar Park, Thamel Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pashupatinath Temple, Krishna Mandir, Sukute Beach, Chandragiri Temple, Om Hospital, Arushi Boutique hotel, Indian Embassy, Lainchour, Bhaktapur Durbar Square, US embassy, Changunarayan Temple, Taudaha, Shivapuri, Fulchowki, Durbarmarg, Nagdaha, Birendra Park, Godawari, Chovar, Maitidevi Temple, Dharhara, Bajrabarahi, Kalikasthan Temple, NewRoad, Nagarkot, City Centre, Chandragiri hills, Champadevi, Nepal police hospital, Boudhanath Temple, Garden Of Dreams, Sherpa Mall, Central Zoo, Kathmandu Boutique Hotel, Nepal mediciti Hospital, Thamel Market, Suryabinayak Ganesh Temple, Civil Service Hospital, Kapan Gumba, Nagpokhari, Royal Empire Boutique Hotel, Lord Of The Drinks, Kathmandu Funpark, Buddhanilkantha, Narayanhiti palace museum, The millionaire's club and casino, Embassy of Japan, Kamalpokhari, Tribhuvan Park, Embassy of Switzerland, Purple Haze RockBar, Kamladi Ganeshthan Temple, Naya bus park, Pilot Baba Ashram, Ason, Trisara, Embassy of Germany, Lazimpat, Whoopee land amusement park, Jame Masjid, Dhulikhel Zipline,,,,,,,,,,,,,
Labim Mall, Daman, Jhamshikhel, NewRoad, Naxal, Club Platinium, Civil Service Hospital, National history Museum, Garden Of Dreams, Freak street, Gokarna Golf Course, City Centre, Krishna Mandir, Tu Teaching Hospital, Royal Empire Boutique Hotel, Santaneshwor Mahadev, Embassy of Germany, Om Hospital, SiddhaPokhari, Casino Royale, Pashupatinath Temple, Durbar Square Patan, Fulchowki, Casino place, Godawari, Bhaktapur Durbar Square, Chandragiri hills, Bhadrakali Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Zoo, Trisara, Jamal, Taudaha, The last resort, Freak street, Pashupatinath Temple, Civil Mall, Om Hospital, Shivapuri, Whoopee land amusement park, National museum, Garden Of Dreams, Durbarmarg, Kathmandu Fun Valley, Ratnapark, Tribhuvan Park, Dhulikhel Zipline, SiddhaPokhari, Shankhadhar Park, Nepal Pavillion Inn, Royal Empire Boutique Hotel, Indian Embassy, Casino Royale, Sherpa Mall, Narayanhiti palace museum, Casino Mahjong, Ghantaghar, Nagpokhari, Boudhanath Temple, Babar Mahal Villas, Kasthamandap Boutique Hotel, Nepal police hospital, Kathmandu Durbar Square, Aviation Museum, Chovar, Sankha Park, Daman, The millionaire's club and casino, Kamladi Ganeshthan Temple, Casino place, Kamalpokhari, Kalikasthan Temple, Jhamshikhel, Pilot Baba Ashram, Chisapani, Nagdaha, NewRoad, Lainchour, Thamel Market, Krishna Mandir, Birendra Park, Nagarkot, Champadevi, Gokarna Golf Course, Suryabinayak Ganesh Temple, Kapan Gumba, Embassy of Japan, Maya Manor Boutique Hotel, Kathmandu Funpark, Dharhara, Arushi Boutique hotel, 1Durbar Mall, Bhasmashur Danda, Embassy of Germany, Tribhuvan Internation Airport,,,,,,,,
British Embassy, Bhadrakali Temple, Dharhara, Shivapuri, Gokarna Golf Course, Casino Royale, Ghantaghar, Fulchowki, Daman, Military museum, Garden Of Dreams, Kathmandu Boutique Hotel, Embassy of Japan, Champadevi, Pashupatinath Temple, Nagdaha, Royal Nepal Golf Course, Central Zoo, Kamalpokhari, Casino place, Lainchour, Freak street, Santaneshwor Mahadev, Narayanhiti palace museum, Boudhanath Temple, Durbarmarg, Shankhadhar Park, Sherpa Mall, Maya Manor Boutique Hotel, Thamel Market, Nepal mediciti Hospital, 1Durbar Mall, Kasthamandap Boutique Hotel, Godawari, Changunarayan Temple, The millionaire's club and casino, Chisapani, Sukute Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trisara, Dhulikhel Zipline, NewRoad, Chandragiri hills, Freak street, Nepal police hospital, Nepal mediciti Hospital, Nagdaha, Jamal, Ason, Jame Masjid, Godawari, Narayanhiti palace museum, Bhasmashur Danda, Casino place, Civil Mall, Fulchowki, Kasthamandap Boutique Hotel, National museum, Kashmeeree jama masjid, The millionaire's club and casino, Pashupatinath Temple, Kamalpokhari, City Centre, Taudaha, Jhamshikhel, Kathmandu Boutique Hotel, Lainchour, Kamladi Ganeshthan Temple, Naya bus park, Embassy of Switzerland, Birendra Park, Daman, Naxal, Gokarna Golf Course, Jawlakhel, Shivapuri, Casino Mahjong, Royal Empire Boutique Hotel, Sukute Beach, British Embassy, Ghantaghar, Civil Service Hospital, Sankha Park, Durbarmarg, Maya Manor Boutique Hotel, Arushi Boutique hotel, 1Durbar Mall, Central Zoo, Swayambunath Temple, The last resort, Om Hospital, Bhadrakali Temple, Champadevi, Bajrabarahi, Chisapani, Kalikasthan Temple, Dharhara, Chovar, Nepal Pavillion Inn, Pilot Baba Ashram, Babar Mahal Villas, Krishna Mandir, Embassy of Japan, Chandragiri Temple, Club Platinium, Changunarayan Temple, Maitidevi Temple, Casino Royale, US embassy, Sherpa Mall, Kasthamandap, Kathmandu Fun Valley, Lazimpat
Shankhadhar Park, Buddhanilkantha, Nepal Pavillion Inn, Mahadevsthan Temple, Kathmandu Fun Valley, The last resort, Nagarkot, Eyeplex Mall, Civil Mall, Bhaktapur Durbar Square, Dharhara, Arushi Boutique hotel, Maitidevi Temple, Godawari, RaniPokhari, Civil Service Hospital, Ason, Naxal, Embassy of Switzerland, Royal Nepal Golf Course, Freak street, Aviation Museum, Boudhanath Temple, Swayambunath Temple, Club Déjà vu, Casino place, Whoopee land amusement park, Thamel Market, Pashupatinath Temple, Champadevi, Jamal, Chovar, Dhulikhel Zipline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civil Service Hospital, Nepal mediciti Hospital, Bhadrakali Temple, Boudhanath Temple, Ratnapark, Kathmandu Funpark, National history Museum, Central Zoo, Lord Of The Drinks, Embassy of Switzerland, Chovar, Pashupatinath Temple, Pilot Baba Ashram, Military museum, Jame Masjid, Nagpokhari, 1Durbar Mall, Chandragiri hills, Birendra Park, Sukute Beach, Civil Mall, Dharhara, Chandragiri Temple, Ason, Club Platinium, Kalikasthan Temple, Nagarkot, Club Déjà vu, Sherpa Mall, Embassy of Japan, City Centre, Kamalpokhari, Bajrabarahi, New Baneshwar, Mahadevsthan Temple, Chisapani, Om Hospital, Nepal Pavillion Inn, Casino Mahjong, Bhaktapur Durbar Square, Santaneshwor Mahadev, Durbar Square Patan, Lazimpat, Swayambunath Temple, Garden Of Dreams, Embassy of Germany, The last resort, Eyeplex Mall,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation Museum, Nepal police hospital, Whoopee land amusement park, The millionaire's club and casino, SiddhaPokhari, Indian Embassy, Changunarayan Temple, Civil Mall, Arushi Boutique hotel, Fulchowki, Sankha Park, Pashupatinath Temple, Narayanhiti palace museum, Ghantaghar, The last resort, Labim Mall, Eyeplex Mall, Gokarna Golf Course, Club Platinium, Pilot Baba Ashram, Casino place, Naya bus park, Jawlakhel, Thamel Market, National museum, Tribhuvan Internation Airport, Maya Manor Boutique Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durbarmarg, Lazimpat, Ghantaghar, Maitidevi Temple, Jamal, Military museum, Shivapuri, Nagarkot, Naya bus park, Champadevi, Kasthamandap Boutique Hotel, Casino place, Buddhanilkantha, Ratnapark, Sukute Beach, Naxal, Changunarayan Temple, Chovar, Tribhuvan Internation Airport, New Baneshwar, The millionaire's club and casino, Purple Haze RockBar, Bajrabarahi, Nilbarahi, Taudaha, Tribhuvan Park, Garden Of Dreams, Swayambunath Temple, Bhasmashur Danda, Kashmeeree jama masjid, Civil Service Hospital, Santaneshwor Mahadev, Gokarna Golf Course, Kapan Gumba, Embassy of Japan, Chandragiri Temple, National history Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal, The millionaire's club and casino, Kasthamandap, 1Durbar Mall, Kashmeeree jama masjid, National history Museum, Babar Mahal Villas, New Baneshwar, Civil Service Hospital, Changunarayan Temple, Chisapani, Nepal mediciti Hospital, Garden Of Dreams, Bajrabarahi, Kamalpokhari, Freak street, Chandragiri hills, Durbarmarg, Jawlakhel, Sherpa Mall, Narayanhiti palace museum, Kapan Gumba, Arushi Boutique hotel, Lazimpat, Jame Masjid, Tribhuvan Park, Kasthamandap Boutique Hotel, Daman, Bhadrakali Temple, Royal Nepal Golf Course, Military museum, Tribhuvan Internation Airport, Kathmandu Funpark, NewRoad, National museum, Maitidevi Temple, Aviation Museum, Nepal police hospital, Pashupatinath Temple, Sukute Beach, Embassy of Japan, Indian Embassy, British Embassy, Buddhanilkantha, Casino place, Nagarkot, SiddhaPokhari, US embassy, Chovar, Krishna Mandir, Nagpokhari, Trisara, Kathmandu Fun Valley, Om Hospital, City Centre, Bhaktapur Durbar Square, Maya Manor Boutique Hotel, Santaneshwor Mahadev, Labim Mall, Dharhara, Embassy of Germany, Club Déjà vu, Club Platinium, Kathmandu Durbar Square, Lainchour, Bhasmashur Danda, Purple Haze RockBar, Jhamshikhel, Casino Mahjong,,,,,
Kathmandu Boutique Hotel, Narayanhiti palace museum, RaniPokhari, Indian Embassy, NewRoad, SiddhaPokhari, Civil Mall, Gokarna Golf Course, Krishna Mandir, Kamalpokhari, Nepal Pavillion Inn, Sherpa Mall, Godawari, Tribhuvan Park, Daman, National museum, Casino Royale, Om Hospital, Lord Of The Drinks, Kathmandu Funpark, Sankha Park, Thamel Market, Aviation Museum, Suryabinayak Ganesh Temple, Pilot Baba Ashram, Bajrabarahi, Boudhanath Temple, Nagdaha, Club Platinium, Labim Mall, Royal Nepal Golf Course, Dharhara, Shivapuri, Nagarkot, Ghantaghar, British Embassy, Chovar, Bhaktapur Durbar Square, Arushi Boutique hotel, Kasthamandap Boutique Hotel, 1Durbar Mall, Ratnapark, Naya bus park, Swayambunath Temple, Tu Teaching Hospital, Bhasmashur Danda, Santaneshwor Mahadev, Kalikasthan Temple, US embassy, Kasthamandap, Changunarayan Temple, Kamladi Ganeshthan Temple, Royal Empire Boutique Hotel, Ason, Whoopee land amusement park, Chandragiri Temple, The last resort, Nepal police hospital, Garden Of Dreams, Sukute Beach, Club Déjà vu, Nepal mediciti Hospital,,,,,,,,,,,,
